Category,Message,Spam,Word_Count
real,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,20
real,Ok lar... Joking wif u oni...,0,6
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,28
real,U dun say so early hor... U c already then say...,0,11
real,"Nah I don't think he goes to usf, he lives around here though",0,13
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1,32
real,Even my brother is not like to speak with me. They treat me like aids patent.,0,16
real,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,26
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,26
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,29
real,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,21
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,26
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,26
real,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,37
real,I HAVE A DATE ON SUNDAY WITH WILL!!,0,8
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,19
real,Oh k...i'm watching here:),0,4
real,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,19
real,Fine if thats the way u feel. Thats the way its gota b,0,13
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1,24
real,Is that seriously how you spell his name?,0,8
real,I‘m going to try for 2 months ha ha only joking,0,11
real,So ü pay first lar... Then when is da stock comin...,0,11
real,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,20
real,Ffffffffff. Alright no way I can meet up with you sooner?,0,11
real,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,28
real,Lol your always so convincing.,0,5
real,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,32
real,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,15
real,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,12
real,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,26
real,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,0,41
real,K tell me anything about you.,0,6
real,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,17
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,29
real,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,28
real,"Oops, I'll let you know when my roommate's done",0,9
real,I see the letter B on my car,0,8
real,Anything lor... U decide...,0,4
real,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,30
real,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,17
real,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,34
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,33
real,WHO ARE YOU SEEING?,0,4
real,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,13
real,No calls..messages..missed calls,0,3
real,Didn't you get hep b immunisation in nigeria.,0,8
real,"Fair enough, anything going on?",0,5
real,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,14
real,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,30
real,What you thinked about me. First time you saw me in class.,0,12
real,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,23
real,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,16
real,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,55
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,22
real,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,13
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1,27
real,"Sorry, I'll call later in meeting.",0,6
real,Tell where you reached,0,4
real,Yes..gauti and sehwag out of odi series.,0,7
real,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,23
real,Ha ha ha good joke. Girls are situation seekers.,0,9
real,Its a part of checking IQ,0,6
real,"Sorry my roommates took forever, it ok if I come by now?",0,12
real,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,24
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1,28
real,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0,23
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,22
